通報(回/秒),ブラウザ数,通報試行数,通報到達数,通報到達失敗数,平均秒,最大秒,最小秒,中央値,標準偏差
1,1,63,63,0,0,0,0,0,0
10,1,730,394,336,8.81,35,0,4,10.36
20,1,1449,398,1051,10.53,40,0,5,11.94
30,1,2167,408,1759,7.98,32,0,3,9.33
40,1,2775,396,2379,3.32,18,0,1,4.63
50,1,2751,411,2340,2.33,13,0,1,3.36
100,1,2781,381,2400,3.3,17,0,1,4.46
1,10,63,63,0,0,0,0,0,0
10,10,726,390,336,9.56,37,0,4,11.13
20,10,1445,407,1038,9.57,37,0,5,11.27
30,10,2157,401,1756,6.04,26,0,3,7.23
40,10,2597,400,2197,5.05,22,0,2,6.32
50,10,2441,391,2050,2,10,0,1,2.49
100,10,2416,370,2046,4.55,16,0,3,4.74
1,50,63,63,0,0,0,0,0,0
10,50,728,197,531,16.07,45,0,12,14.84
20,50,1442,201,1241,13.63,44,0,9,13.26
30,50,1951,190,1761,13.02,40,0,8,12.78
40,50,1968,292,1676,9.96,36,0,6,10.35
50,50,2046,221,1825,14.32,40,0,11,12.77
100,50,2036,220,1816,16.91,45,0,14.5,13.6
1,100,61,61,0,0,0,0,0,0
10,100,604,172,432,20.24,45,0,21.5,14.93
20,100,1442,160,1282,19.79,48,0,19,14.18
30,100,1804,187,1617,12.98,39,0,11,10.12
40,100,1814,241,1573,12.48,40,0,11,9.58
50,100,1791,271,1520,8.99,38,0,4,10.2
100,100,1745,265,1480,6.03,34,0,2,8.75
1,150,61,61,0,0.05,1,0,0,0.22
10,150,731,105,626,18.56,51,0,14,16.48
20,150,1443,131,1312,17.82,45,0,19,12.28
30,150,1753,273,1480,6.01,32,0,1,8.85
40,150,1621,237,1384,3.89,22,0,1,5.39
50,150,1603,168,1435,10.95,43,0,6.5,11.46
100,150,1632,171,1461,12.65,44,0,8,12.51
1,200,61,50,11,0.08,1,0,0,0.27
10,200,47,3,44,0.33,1,0,0,0.47
20,200,80,3,77,0.33,1,0,0,0.47
30,200,63,3,60,0.67,1,0,1,0.47
40,200,62,3,59,0.67,1,0,1,0.47
50,200,99,7,92,0.57,2,0,0,0.73
100,200,62,2,60,0.5,1,0,0.5,0.5
1,500,30,5,25,1.6,4,1,1,1.2
10,500,144,1,143,0,0,0,0,0
20,500,214,0,214,0,-Infinity,Infinity,0,0
30,500,250,2,248,0.5,1,0,0.5,0.5
40,500,270,1,269,1,1,1,1,0
50,500,264,1,263,1,1,1,1,0
100,500,655,0,655,0,-Infinity,Infinity,0,0
