通報クライアント数,ブラウザ数,クライアント試行数,クライアント試行成功数,クライアント試行失敗数,平均秒,最大秒,最小秒,中央値,標準偏差,CPU使用率(App),メモリ使用率(App),CPU使用率(Redis),メモリ使用率(Redis),CPU使用率(DB),メモリ使用率(DB)
100,1,100,100,0,1.96,8,1,1,1.78,52,4.2,3,9.1,3,11.1
200,1,200,148,52,12.47,58,1,2,16.56,55,4.2,4,9.1,3,11.1
500,1,448,134,314,11.45,65,1,2,16.25,56,59.3,4,10.2,4,11.1
1000,1,482,135,347,11.22,65,1,2,15.73,57,4.6,4,9.1,4,11.1
2000,1,504,145,359,12.03,65,1,2,16.43,56,2,5,9.1,3,11.1
5000,1,483,143,340,11.12,62,1,2,15.35,56,2.2,4,9.1,4,11.1
100,10,100,100,0,4.09,16,1,1,4.64,54,2.2,5,9.1,3,11.1
200,10,200,176,24,196.09,1813,1,23,390.33,57,2.3,6,9.1,3,11.1
500,10,378,112,266,12.09,66,1,3,15.88,57,59.5,7,10.2,4,11.1
1000,10,388,108,280,12.22,62,1,3,16.01,58,5.3,7,9.1,4,11.1
2000,10,395,112,283,14.89,67,1,5.5,18.42,57,5.5,9,9.1,3,11.1
5000,10,388,108,280,13.07,66,1,3.5,16.86,57,5.6,7,9.1,3,11.1
100,50,100,55,45,21.16,62,1,10,21.22,58,5.6,9,9.1,2,11.1
200,50,183,55,128,15.09,66,1,4,18.65,57,59.8,8,10.2,2,11.1
500,50,213,55,158,12.49,59,1,2,16.17,61,59.9,9,10.2,2,11.1
1000,50,198,49,149,13.39,67,1,3,17.96,59,5.9,8,9.1,1,11.1
2000,50,204,53,151,14.98,67,1,4,19.12,61,6,12,9.1,2,11.1
5000,50,216,55,161,16.91,67,1,4,20.93,59,60.2,10,10.2,2,11.1
100,100,100,34,66,15.41,68,1,5,18.89,59,6.2,13,9.1,1,11.1
200,100,76,45,31,17.91,53,1,7,18.3,57,6.3,10,9.1,1,11.1
500,100,149,36,113,17.06,70,1,5.5,20.97,62,6.4,9,9.1,2,11.1
1000,100,164,39,125,17.15,69,1,5,20.35,59,6.5,11,9.1,2,11.1
2000,100,138,31,107,14.84,67,1,5,18.55,59,60.6,13,10.2,2,11.1
5000,100,156,37,119,13.78,66,1,3,18.03,61,60.7,10,10.2,2,11.1
100,150,100,55,45,20.29,58,1,12,18.76,65,30.3,9,8.9,3,10.9
200,150,139,30,109,20.43,70,1,9.5,22.36,59,6.9,10,9.1,2,11.1
500,150,128,43,85,19.02,58,1,14,17.72,60,7,10,9.1,2,11.1
1000,150,27,20,7,6.7,11,2,7,3.32,61,60.5,6,10.2,1,11.1
2000,150,137,30,107,18.77,67,1,8,21.02,61,7.2,12,9.1,1,11.1
5000,150,135,29,106,20.38,70,1,8,22.64,60,7.3,12,9.1,2,11.1
100,200,62,21,41,3.29,12,1,2,3.13,65,30.7,3,8.9,2,10.9
200,200,68,51,17,17.41,51,1,15,12.13,61,7.5,9,9.1,2,11.1
500,200,60,46,14,14.85,50,1,9.5,13.4,62,7.6,10,9.1,2,11.1
1000,200,66,38,28,23.68,60,1,22,17.9,65,7.8,10,9.1,2,11.1
2000,200,99,48,51,20.98,55,1,14,16.77,65,62.1,10,10.2,2,11.1
5000,200,60,51,9,16.37,53,1,10,14.18,61,8,9,9.1,3,11.1
100,500,94,0,94,0,,,0,0,69,32.2,2,8.9,2,10.9
200,500,113,3,110,11.33,13,8,13,2.36,65,8.3,3,9.1,4,11.1
500,500,138,6,132,16.17,25,7,17,6.54,65,8.5,4,9.1,3,11.1
1000,500,112,5,107,4.4,7,2,4,1.85,65,8.8,3,9.1,4,11.1
2000,500,131,3,128,8.67,10,6,10,1.89,64,9.1,3,9.1,4,11.1
5000,500,121,2,119,3,4,2,3,1,68,9.3,2,9.1,3,11.1
