画像POST（回／秒）,画像サイズ,クライアント試行数,クライアント試行成功数,クライアント試行失敗数,平均秒,最大秒,最小秒,中央値,標準偏差,CPU使用率(App),メモリ使用率(App),CPU使用率(Redis),メモリ使用率(Redis),CPU使用率(DB),メモリ使用率(DB)
1,320x180,64,64,0,0,0,0,0,0,2,1.4,1,9.3,0,11.3
1,1280x720,64,64,0,0.3,1,0,0,0.46,4,2.1,0,10.3,1,11.2
1,1920x1080,64,64,0,0.02,1,0,0,0.12,4,3.1,1,10.3,0,11.2
1,4096x2160,64,64,0,0.03,1,0,0,0.17,4,4.4,0,10.3,0,11.2
10,320x180,735,62,673,0,0,0,0,0,7,3.6,0,10.3,1,11.2
10,1280x720,735,735,0,0.09,1,0,0,0.28,14,6.2,1,10.3,1,11.2
10,1920x1080,732,731,1,0.21,2,0,0,0.46,21,18.5,0,10.3,1,11.2
10,4096x2160,727,726,1,1.2,11,0,0,2.58,35,33.9,0,10.3,2,11.2
20,320x180,1467,155,1312,0.04,1,0,0,0.19,15,22.7,0,10.3,0,11.2
20,1280x720,1460,1458,2,0.09,1,0,0,0.29,23,27.9,1,10.3,2,11.2
20,1920x1080,1410,1123,287,1.16,10,0,0,2.41,58,52.1,1,10.3,2,11.2
20,4096x2160,1448,310,1138,0.15,3,0,0,0.5,67,52.2,1,10.3,1,11.2
50,320x180,3641,627,3014,0.05,1,0,0,0.23,37,43.4,1,10.3,3,11.2
50,1280x720,3630,1979,1651,0.3,8,0,0,0.76,55,51.5,1,10.3,3,11.2
50,1920x1080,3630,225,3405,0.08,1,0,0,0.28,53,51,0,10.3,2,11.2
50,4096x2160,3639,68,3571,0.12,1,0,0,0.32,31,51.1,1,10.3,1,11.2
100,320x180,7221,172,7049,0.03,1,0,0,0.18,31,50.7,0,10.3,1,11.2
100,1280x720,7218,255,6963,0.05,1,0,0,0.21,39,51.4,1,10.3,0,11.2
100,1920x1080,7215,23,7192,0.09,1,0,0,0.28,21,51.5,1,10.3,0,11.2
100,4096x2160,7214,4,7210,0.5,1,0,0.5,0.5,32,51,0,10.3,0,11.2
